epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,385.71,1.33583,0.70338,1.1127,0.47442,0.57823,0.55124,0.31188,1.76347,1.24341,1.65647,0.000492625,0.000492625,0.000492625
43,394.341,1.33909,0.70789,1.11059,0.5618,0.50619,0.5571,0.31663,1.71165,1.20903,1.60402,0.00048025,0.00048025,0.00048025
44,402.476,1.31816,0.69304,1.11352,0.74511,0.50632,0.52698,0.30102,1.74728,1.1485,1.61323,0.000467875,0.000467875,0.000467875
45,410.983,1.33786,0.69529,1.1131,0.74481,0.46325,0.51933,0.29717,1.75195,1.13311,1.60359,0.0004555,0.0004555,0.0004555
46,419.606,1.30039,0.67951,1.09139,0.73603,0.47127,0.59607,0.32447,1.71355,1.16256,1.60552,0.000443125,0.000443125,0.000443125
47,427.6,1.3001,0.67859,1.10467,0.53929,0.56221,0.60066,0.32669,1.69019,1.23541,1.59634,0.00043075,0.00043075,0.00043075
48,436.202,1.29127,0.67677,1.09648,0.50722,0.60698,0.61337,0.36018,1.7117,1.27297,1.60699,0.000418375,0.000418375,0.000418375
49,444.825,1.28728,0.6637,1.09417,0.57248,0.59344,0.6054,0.35407,1.6712,1.12592,1.57175,0.000406,0.000406,0.000406
50,452.844,1.28739,0.65794,1.08805,0.54325,0.57795,0.57008,0.32326,1.74103,1.17697,1.65154,0.000393625,0.000393625,0.000393625
51,461.391,1.29328,0.66347,1.08974,0.61406,0.6058,0.58537,0.34031,1.69288,1.11935,1.62081,0.00038125,0.00038125,0.00038125
52,470.229,1.28257,0.63957,1.07697,0.83161,0.54085,0.63334,0.35595,1.68467,1.03661,1.61623,0.000368875,0.000368875,0.000368875
53,478.124,1.2655,0.65219,1.09253,0.66494,0.47314,0.53723,0.32398,1.66865,1.08241,1.55066,0.0003565,0.0003565,0.0003565
54,486.766,1.28063,0.65104,1.08899,0.54033,0.42471,0.51785,0.30256,1.7228,1.20411,1.64718,0.000344125,0.000344125,0.000344125
55,495.477,1.24639,0.64171,1.07438,0.69302,0.44139,0.5125,0.30411,1.63187,1.18668,1.54741,0.00033175,0.00033175,0.00033175
56,503.655,1.25075,0.62947,1.06643,0.8579,0.43296,0.52866,0.30995,1.63853,1.17367,1.57404,0.000319375,0.000319375,0.000319375
57,512.273,1.25408,0.64967,1.08731,0.91837,0.41486,0.51567,0.30774,1.6204,1.06194,1.57135,0.000307,0.000307,0.000307
58,521.141,1.23199,0.63531,1.06249,0.87818,0.45462,0.55103,0.32175,1.63773,1.06455,1.54606,0.000294625,0.000294625,0.000294625
59,529.214,1.24211,0.6397,1.07355,0.69761,0.54775,0.53587,0.31498,1.68515,1.17649,1.65416,0.00028225,0.00028225,0.00028225
60,539.057,1.22037,0.61248,1.05701,0.8881,0.47523,0.55699,0.32259,1.68448,1.27347,1.61629,0.000269875,0.000269875,0.000269875
61,547.733,1.25324,0.62072,1.07326,0.62954,0.52836,0.57527,0.33494,1.65137,1.10734,1.56254,0.0002575,0.0002575,0.0002575
62,555.912,1.24816,0.61682,1.06928,0.76931,0.5242,0.58666,0.34134,1.64956,1.12949,1.58266,0.000245125,0.000245125,0.000245125
63,564.511,1.18842,0.60333,1.05012,0.79483,0.52618,0.58337,0.34462,1.75998,1.19096,1.66378,0.00023275,0.00023275,0.00023275
64,573.273,1.22416,0.60989,1.06283,0.80376,0.50313,0.58391,0.34098,1.66864,1.2229,1.5934,0.000220375,0.000220375,0.000220375
65,581.319,1.22738,0.61992,1.05139,0.80255,0.5012,0.56739,0.3346,1.66289,1.20443,1.56257,0.000208,0.000208,0.000208
66,589.907,1.19612,0.6014,1.0613,0.76337,0.50659,0.56089,0.34565,1.66627,1.20983,1.58924,0.000195625,0.000195625,0.000195625
67,598.723,1.19031,0.59081,1.04444,0.56181,0.49996,0.52958,0.31851,1.66381,1.1003,1.58307,0.00018325,0.00018325,0.00018325
68,606.705,1.17728,0.58262,1.03633,0.74631,0.50233,0.56084,0.33819,1.6591,1.06112,1.58875,0.000170875,0.000170875,0.000170875
69,615.378,1.17402,0.59146,1.05028,0.77567,0.504,0.54745,0.32393,1.70732,1.10999,1.66069,0.0001585,0.0001585,0.0001585
70,624.244,1.16393,0.57626,1.0482,0.78298,0.5228,0.5466,0.3223,1.69004,1.14925,1.67138,0.000146125,0.000146125,0.000146125
71,634.27,1.19726,0.59304,1.05223,0.62483,0.52709,0.54605,0.33345,1.72989,1.16553,1.67638,0.00013375,0.00013375,0.00013375
72,643.221,1.16914,0.57212,1.05694,0.58623,0.54031,0.56215,0.33088,1.71848,1.0237,1.65353,0.000121375,0.000121375,0.000121375
73,651.911,1.16871,0.56051,1.05365,0.57683,0.58689,0.60059,0.36329,1.74599,1.06871,1.66951,0.000109,0.000109,0.000109
74,659.989,1.15513,0.55016,1.03651,0.74927,0.64033,0.61159,0.36415,1.73703,1.0691,1.65061,9.6625e-05,9.6625e-05,9.6625e-05
75,668.438,1.13611,0.53649,1.03518,0.7899,0.6355,0.6472,0.38939,1.72989,1.09459,1.66146,8.425e-05,8.425e-05,8.425e-05
76,677.104,1.13652,0.53712,1.03896,0.7946,0.6357,0.65277,0.4007,1.74772,1.03886,1.70073,7.1875e-05,7.1875e-05,7.1875e-05
77,684.835,1.11793,0.52462,1.02418,0.60956,0.61821,0.60689,0.36494,1.73139,1.04909,1.67133,5.95e-05,5.95e-05,5.95e-05
78,693.27,1.10626,0.52697,1.03553,0.60635,0.55127,0.59117,0.35455,1.73183,1.08436,1.6848,4.7125e-05,4.7125e-05,4.7125e-05
79,701.963,1.12331,0.5286,1.02177,0.59577,0.54063,0.58441,0.35079,1.70367,1.10289,1.66088,3.475e-05,3.475e-05,3.475e-05
80,710.671,1.1115,0.52321,1.03504,0.58713,0.5407,0.59011,0.34509,1.71208,1.09619,1.6697,2.2375e-05,2.2375e-05,2.2375e-05
